"id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","neighbourhood_ward","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable"
7.85e+17,4310681,"2012/12/03","within an hour",100,86,"t",24,"['email', 'phone', 'work_email']","Ward 69",-34.0982,18.39007,"Entire home/apt",8,4,3,3,4272,4,60,4.9,273,14,29,50,272,42,1.26,4.95,"f"
1.33e+18,405070985,"2021/06/03","within a few hours",100,100,"f",1,"['email', 'phone']","Ward 71",-34.12491378,18.44772379,"Entire home/apt",2,1,1,1,1164,2,30,2,30,0,0,22,242,1,0.81,5,"f"
5.79e+17,160056632,"2017/11/25","within an hour",100,93,"t",3,"['email', 'phone']","Ward 54",-33.91246,18.39427,"Entire home/apt",2,1,1,1,1352,2,28,2,1125,3,6,16,223,92,2.2,4.86,"f"
17914554,122805464,"2017/03/27","within a day",100,50,"f",1,"['email', 'phone']","Ward 23",-33.8025,18.47626,"Entire home/apt",6,2,3,4,4800,7,30,7,30,22,52,68,314,8,0.38,4.88,"f"
1.06e+18,51549326,"2015/12/16","within a day",100,63,"t",4,"['email', 'phone']","Ward 54",-33.96458,18.37788,"Entire home/apt",2,1,1,1,2500,1,365,1,365,29,59,89,269,1,0.05,5,"f"
1.03e+18,223269541,"2018/10/30","within an hour",99,95,"t",11,"['email', 'phone', 'work_email']","Ward 115",-33.9153438,18.4159169,"Entire home/apt",4,2,2,2,1398,2,21,2.2,21,16,43,73,145,62,2.8,4.87,"f"
1.38e+18,302090937,"2019/10/13","within a day",100,100,"f",1,"['phone']","Ward 100",-34.16084364,18.8791068,"Entire home/apt",10,5,8,8,5643,2,365,2,365,18,47,71,303,2,0.41,5,"f"
9.4e+17,217413211,"2018/09/26","within an hour",100,98,"t",48,"['email', 'phone', 'work_email']","Ward 64",-34.1418367,18.43102661,"Entire home/apt",6,2,3,4,1835,4,365,5.7,365,0,0,0,0,1,0.13,5,"t"
6.55e+17,13151726,"2014/03/15","within a day",100,91,"f",2,"['email', 'phone']","Ward 61",-34.1996181,18.3775486,"Entire home/apt",6,3.5,3,3,3356,2,60,3.3,60,6,24,42,235,42,1.31,4.9,"f"
9.55e+17,531001759,"2023/08/10","within an hour",100,100,"f",1,"['email', 'phone']","Ward 115",-33.9219464,18.4187235,"Entire home/apt",2,1,0,1,884,2,365,2,1125,6,29,59,326,16,0.63,4.5,"t"
14410958,88639386,"2016/08/08","within a day",50,53,"f",2,"['email', 'phone']","Ward 62",-33.98579,18.44222,"Entire home/apt",2,1,1,1,1900,2,1125,2,1125,28,58,75,153,27,0.25,5,"f"
1.37e+18,682699742,"2025/03/06","within a day",67,100,"f",6,"['phone']","Ward 77",-33.9353462,18.40364995,"Private room",2,1,1,1,5250,1,365,1,731,10,18,31,263,1,0.17,5,"t"
7.96e+17,429666093,"2021/10/30","within an hour",100,97,"t",7,"['email', 'phone']","Ward 115",-33.91876,18.42232,"Entire home/apt",2,1,0,0,2500,2,365,2.2,365,14,23,44,291,43,1.31,4.7,"t"
1.08e+18,33425904,"2015/05/15","within a few hours",100,43,"f",2,"['email', 'phone']","Ward 58",-33.98806,18.47326,"Entire home/apt",4,2,2,2,2593,7,365,7,365,0,0,24,197,2,0.11,5,"f"
9225204,47963831,"2015/11/02","a few days or more",0,57,"f",2,"['phone']","Ward 74",-34.043571,18.347507,"Entire home/apt",2,1,1,1,1260,1,1125,2,1125,29,59,89,364,18,0.15,4.89,"f"
52027780,254149254,"2019/04/08","within an hour",100,100,"f",1,"['email', 'phone']","Ward 23",-33.80477,18.48139,"Entire home/apt",6,2,3,3,3000,7,32,7,32,23,53,75,250,5,0.11,4.2,"f"
1e+18,437836003,"2021/12/28","within an hour",100,99,"f",165,"['email', 'phone']","Ward 54",-33.91977,18.38632,"Entire home/apt",2,1,1,1,1188,1,365,3.8,365,29,59,89,364,6,0.32,3.83,"t"
39274290,31722828,"2015/04/22","within an hour",100,85,"t",16,"['email', 'phone']","Ward 115",-33.90173,18.40205,"Entire home/apt",3,1,0,2,1333,3,730,3,1125,0,8,28,33,159,2.22,4.94,"f"
53425680,432585929,"2021/11/19","within an hour",100,100,"f",1,"['email', 'phone']","Ward 115",-33.91173,18.41609,"Entire home/apt",2,1,0,1,1476,1,365,1.3,83.9,29,59,89,355,183,4,4.56,"t"
24931611,188484678,"2018/05/08","within an hour",100,100,"t",3,"['email', 'phone']","Ward 115",-33.91106,18.4077,"Entire home/apt",4,3,2,3,2550,5,90,5,1125,15,38,59,334,27,0.32,4.81,"t"
13949410,83031827,"2016/07/11","within an hour",100,100,"t",1,"['email', 'phone']","Ward 58",-34.00124,18.47812,"Entire home/apt",2,1,1,1,632,2,28,2.1,1125,19,21,28,259,238,2.17,4.93,"f"
7.5e+17,103351691,"2016/11/11","within an hour",100,88,"f",1,"['email', 'phone']","Ward 115",-33.92831,18.42275,"Entire home/apt",2,1,1,1,1061,2,30,2,1125,11,21,26,70,13,0.45,4.62,"f"
22409954,13729241,"2014/03/31","within an hour",99,96,"t",22,"['email', 'phone', 'work_email']","Ward 54",-33.95918,18.38063,"Entire home/apt",4,2,2,4,2108,3,1124,3.3,1125,16,46,76,343,213,2.26,4.67,"f"
1.31e+18,472886309,"2022/08/02","within an hour",100,100,"f",7,"['email', 'phone']","Ward 61",-34.144216,18.323326,"Entire home/apt",6,3,3,4,2984,7,1125,3.5,1125,25,36,50,144,4,0.45,5,"f"
9.87e+17,537580810,"2023/09/17","within an hour",100,90,"t",10,"['email', 'phone']","Ward 54",-33.9199739,18.3894502,"Entire home/apt",4,2,2,3,1923,1,1125,3.8,1125,6,24,40,71,40,1.69,4.93,"f"
17643084,2516345,"2012/06/01","within an hour",100,100,"f",85,"['email', 'phone']","Ward 55",-33.89086,18.51113,"Entire home/apt",2,1,1,1,1888,1,1125,3.1,1125,24,54,84,359,12,0.12,4.5,"t"
2321768,11858790,"2014/02/02","within a few hours",100,84,"t",21,"['email', 'phone', 'work_email']","Ward 62",-34.00804,18.46536,"Entire home/apt",6,3,3,3,2364,5,1125,5.1,1125,4,20,38,244,71,0.54,4.94,"f"
7.48e+17,281646889,"2019/08/02","within an hour",100,90,"f",32,"['email', 'phone']","Ward 115",-33.91791,18.42429,"Entire home/apt",2,1,1,1,494,2,1080,2.2,1125,0,0,0,0,44,1.25,4.5,"f"
1.04e+18,217413211,"2018/09/26","within an hour",100,98,"t",48,"['email', 'phone', 'work_email']","Ward 64",-34.11244997,18.46579436,"Entire home/apt",4,2,2,3,1137,2,365,5.4,365,6,31,61,324,6,0.35,4.67,"t"
1.36e+18,503479802,"2023/03/02","within an hour",100,99,"f",43,"['email', 'phone']","Ward 77",-33.9237796,18.4118622,"Entire home/apt",4,2,2,2,2251,1,1125,1,782.7,25,50,76,134,25,3.44,4.92,"t"
1.02e+18,544386467,"2023/11/01","within an hour",100,100,"f",1,"['email', 'phone']","Ward 115",-33.9184217,18.4235658,"Entire home/apt",2,1,1,1,885,2,365,2.1,1125,18,44,73,339,24,1.06,4.58,"t"
1.42e+18,10484689,"2013/12/07","within an hour",100,82,"t",12,"['email', 'phone']","Ward 64",-34.1099645,18.4671531,"Entire home/apt",2,1,1,1,1483,2,30,2.1,30,20,50,80,170,6,2.65,5,"f"
18065484,52140896,"2015/12/24","within a day",100,60,"f",2,"['email', 'phone']","Ward 74",-34.03044128,18.34697914,"Entire home/apt",2,1,1,1,1350,2,30,2,30,27,37,62,289,25,0.24,4.88,"f"
7769622,29672113,"2015/03/20","within an hour",100,94,"t",4,"['email', 'phone']","Ward 115",-33.90952,18.39847,"Entire home/apt",3,1,1,1,1513,12,120,12,120,10,20,47,73,33,0.27,4.94,"f"
6.86e+17,172110226,"2018/02/07","within an hour",100,100,"f",48,"['email', 'phone', 'work_email']","Ward 23",-33.8149,18.47221,"Entire home/apt",2,1,1,1,1120,5,1125,3,731,8,31,42,177,5,0.14,3.8,"t"
9.05e+17,517822292,"2023/06/02","within a few hours",100,100,"f",1,"['email', 'phone']","Ward 54",-33.9191619,18.3871124,"Entire home/apt",2,1,0,1,786,30,365,30,1125,1,1,14,85,2,0.11,4.5,"f"
15563062,96811566,"2016/09/26","within a day",100,85,"t",1,"['email', 'phone']","Ward 15",-34.05927,18.83627,"Entire home/apt",2,1,1,1,540,2,30,2,30,15,31,50,140,123,1.3,4.93,"f"
1.06e+18,555011617,"2024/01/07","within a few hours",100,100,"t",1,"['email', 'phone']","Ward 63",-34.01351,18.49082,"Entire home/apt",2,1,1,1,450,2,60,2,60,4,4,13,49,23,1.14,4.91,"f"
1.05e+18,286358205,"2019/08/16","within an hour",100,98,"f",3,"['email', 'phone', 'work_email']","Ward 103",-33.8393229,18.6931396,"Entire home/apt",4,2,2,3,1143,3,365,3,365,23,31,49,319,32,1.6,4.59,"t"
50842073,379188455,"2020/12/10","within an hour",100,98,"t",5,"['phone']","Ward 2",-33.89774,18.63354,"Entire home/apt",2,1,1,1,742,2,30,2,1125,24,54,84,359,112,2.26,4.85,"f"
27970277,93599290,"2016/09/05","within an hour",98,100,"t",21,"['email', 'phone']","Ward 54",-33.93730164,18.37849998,"Entire home/apt",4,2,2,2,6166,2,1125,2.7,1125,30,60,75,341,42,0.49,4.76,"t"
11131988,57849948,"2016/02/08","within an hour",100,88,"f",1,"['email', 'phone']","Ward 54",-33.93576,18.37842,"Entire home/apt",6,3.5,3,3,6558,7,30,5.8,30,9,12,32,145,22,0.19,4.91,"f"
39046053,90274786,"2016/08/16","within an hour",100,99,"f",16,"['phone']","Ward 23",-33.79168,18.45978,"Entire home/apt",4,1,2,3,1562,2,1125,2,731,12,26,30,234,19,0.27,4.79,"t"
1.48e+18,20600730,"2014/08/27","within an hour",100,90,"f",109,"['email', 'phone', 'work_email']","Ward 69",-34.10103,18.38754,"Entire home/apt",8,3.5,4,4,4323,2,365,2.3,365,29,54,77,327,3,3,5,"f"
8.43e+17,158521397,"2017/11/13","within an hour",100,98,"t",16,"['email', 'phone']","Ward 64",-34.1398458,18.4300083,"Entire home/apt",6,1.5,3,5,2250,3,365,4.3,1125,20,45,68,203,15,0.51,4.93,"t"
1.11e+18,77519364,"2016/06/13","within a few hours",67,21,"t",4,"['phone']","Ward 54",-33.96812,18.38031,"Entire home/apt",2,1,1,1,1408,5,365,5,365,30,60,79,164,6,0.34,5,"f"
10174285,52237491,"2015/12/25","within a few hours",67,82,"t",2,"['email', 'phone', 'work_email']","Ward 64",-34.13448,18.42371,"Entire home/apt",2,1,1,1,852,1,1125,1,1125,30,60,90,365,28,0.24,4.71,"f"
1.06e+18,120031211,"2017/03/10","within an hour",100,100,"t",2,"['email', 'phone']","Ward 55",-33.89133,18.51523,"Entire home/apt",6,2,3,4,2430,2,365,2,365,15,35,52,137,23,1.15,4.91,"f"
1.35e+18,460838614,"2022/05/25","within a few hours",100,91,"f",1,"['phone']","Ward 73",-34.02976,18.4516,"Entire home/apt",8,3,4,8,3420,1,365,1,365,12,12,14,146,4,0.53,4.75,"f"
5.9e+17,335829120,"2020/02/13","within a few hours",100,99,"t",1,"['email', 'phone']","Ward 15",-34.067284,18.831476,"Entire home/apt",2,1,1,1,518,2,30,2,30,14,34,48,210,174,4.08,4.86,"f"
1.3e+18,665498486,"2024/12/05","within an hour",100,76,"f",1,"['email', 'phone']","Ward 55",-33.889903,18.5110059,"Entire home/apt",4,2,2,2,2131,2,30,2,1125,10,40,70,328,10,1.09,5,"f"
1.15e+18,177509632,"2018/03/09","within an hour",100,95,"t",2,"['email', 'phone', 'work_email']","Ward 115",-33.92186188,18.41863375,"Entire home/apt",2,1,1,1,969,2,30,2,30,16,27,57,152,7,0.58,4.71,"f"
9.94e+17,217640606,"2018/09/27","within an hour",100,97,"t",2,"['email', 'phone']","Ward 115",-33.91732,18.42616,"Entire home/apt",2,1.5,1,1,945,2,30,2,30,17,33,50,98,44,1.92,4.84,"f"
1.33e+18,664879931,"2024/12/01","within a few hours",100,100,"f",1,"['email', 'phone']","Ward 61",-34.1314347,18.3376252,"Entire home/apt",8,4,4,4,6500,2,365,2.7,365,26,56,81,323,3,0.41,5,"t"
9.64e+17,48303994,"2015/11/06","within an hour",100,78,"t",55,"['email', 'phone']","Ward 62",-34.03896,18.43982,"Entire home/apt",8,4,4,4,11232,7,365,7,365,21,48,69,287,3,0.14,5,"f"
23912488,179733213,"2018/03/21","within a day",90,97,"t",1,"['phone']","Ward 53",-33.9305,18.51928,"Entire home/apt",2,1,1,1,329,2,30,2,1125,21,23,24,158,159,1.77,4.71,"f"
1.43e+18,6502541,"2013/05/21","within an hour",100,99,"t",2,"['email', 'phone']","Ward 54",-33.92539,18.39203,"Entire home/apt",8,4.5,4,4,7066,1,365,2.8,365,4,12,29,126,24,6.32,5,"t"
18851057,50749759,"2015/12/07","within an hour",100,100,"f",1,"['email', 'phone', 'work_email']","Ward 115",-33.92039,18.42282,"Entire home/apt",4,2,2,3,1304,7,1125,2.7,1125,18,48,70,154,14,0.15,4.86,"f"
1.25e+18,513747099,"2023/05/08","within an hour",97,87,"t",16,"['email', 'phone']","Ward 54",-33.91276,18.39278,"Entire home/apt",2,1,1,1,1235,2,31,2.6,1125,10,27,35,256,13,1.23,4.85,"f"
1.07e+18,555661461,"2024/01/10","within a few hours",100,60,"f",1,"['email', 'phone']","Ward 59",-33.9969709,18.4678045,"Entire home/apt",2,1,1,1,903,2,60,2,60,27,57,82,235,6,0.53,5,"f"
9.68e+17,534317332,"2023/08/28","within an hour",100,99,"t",1,"['email', 'phone']","Ward 61",-34.16326531,18.43006026,"Entire home/apt",2,1,1,1,1015,2,31,2,31,19,33,36,199,108,4.56,4.97,"f"
53948422,436883836,"2021/12/21","within a few hours",100,96,"f",8,"['email', 'phone']","Ward 54",-33.96567,18.37701,"Entire home/apt",4,2,2,2,3325,3,99,2,1000,0,1,9,90,3,0.14,5,"t"
1.41e+18,665284771,"2024/12/03","within an hour",100,100,"f",1,"['email', 'phone']","Ward 115",-33.92795811,18.42085261,"Entire home/apt",4,2,2,3,1967,2,30,2,1125,20,41,65,332,2,0.41,4.5,"f"
3855078,19886028,"2014/08/12","within an hour",100,100,"t",1,"['email', 'phone']","Ward 3",-33.88173,18.65564,"Entire home/apt",2,1,1,2,463,5,365,5,365,0,0,4,214,95,0.72,4.92,"f"
1.31e+18,22496956,"2014/10/13","within an hour",100,69,"f",1,"['email', 'phone', 'work_email']","Ward 84",-34.0985404,18.9203011,"Entire home/apt",6,2.5,3,4,1491,2,365,2.6,365,12,16,16,160,2,1.4,5,"f"
6.63e+17,433098823,"2021/11/22","within an hour",100,95,"t",3,"['email', 'phone']","Ward 23",-33.71125,18.44617,"Entire home/apt",6,2,2,3,2154,3,28,3,1125,20,25,25,155,48,1.37,4.96,"f"
6.09e+17,408695175,"2021/06/23","within an hour",100,100,"f",2,"['email', 'phone']","Ward 61",-34.15453,18.43317,"Entire home/apt",2,1,1,1,668,1,100,1,100,17,47,64,148,90,2.15,4.81,"f"
7.48e+17,433121933,"2021/11/23","within an hour",100,92,"f",1,"['email', 'phone']","Ward 107",-33.82314,18.47779,"Entire home/apt",4,1,2,1,1472,1,1125,1,1125,21,34,35,35,254,7.28,4.77,"f"
1.25e+18,157605965,"2017/11/06","within an hour",100,83,"f",1,"['email', 'phone']","Ward 115",-33.92329,18.42242,"Entire home/apt",2,1,1,1,2000,2,365,2,365,0,26,56,236,2,0.22,5,"t"
27929581,25122328,"2014/12/23","within an hour",100,92,"t",20,"['email', 'phone', 'work_email']","Ward 54",-33.9471817,18.37906075,"Entire home/apt",8,4.5,4,4,14266,3,365,3.2,365,14,37,61,219,99,1.18,4.95,"f"
1.32e+18,533223575,"2023/08/22","within an hour",100,100,"f",33,"['email', 'phone']","Ward 115",-33.92904868,18.42079437,"Entire home/apt",2,1,1,1,1275,2,365,2.4,365,0,26,56,331,2,0.22,4,"t"
5.44e+17,62093209,"2016/03/08","within a few hours",90,92,"f",25,"['email', 'phone']","Ward 57",-33.95163,18.47084,"Private room",1,2,1,1,260,7,365,7,365,0,26,56,331,5,0.12,4.6,"f"
4875883,9166771,"2013/10/01","within an hour",100,96,"t",2,"['email', 'phone']","Ward 115",-33.92481,18.42208,"Entire home/apt",4,2,2,2,2075,4,90,4,90,0,0,0,240,2,0.06,5,"f"
9.51e+17,2334819,"2012/05/09","within an hour",100,83,"t",1,"['email', 'phone']","Ward 54",-33.9566645,18.3860387,"Entire home/apt",5,2,3,3,5573,2,365,2,365,0,23,45,179,28,1.15,4.89,"f"
1.06e+18,555060871,"2024/01/07","within an hour",100,75,"t",2,"['email', 'phone']","Ward 60",-33.9834613,18.5016789,"Entire home/apt",2,1,1,1,642,2,1125,2,1125,9,39,40,122,17,0.81,4.94,"f"
6.13e+17,218745884,"2018/10/04","within an hour",100,96,"t",148,"['phone', 'work_email']","Ward 115",-33.91309,18.41871,"Entire home/apt",2,1,1,1,1157,2,1125,2,1125,8,20,21,277,90,2.19,4.72,"f"
15675840,8466978,"2013/08/27","within an hour",100,95,"t",1,"['phone']","Ward 61",-34.19869,18.37348,"Entire home/apt",7,2.5,3,5,3510,2,30,2.3,30,29,59,71,249,46,0.44,4.83,"f"
7.88e+17,492459798,"2022/12/23","within an hour",100,100,"t",1,"['email', 'phone']","Ward 30",-33.9202138,18.5556157,"Private room",2,1,1,1,442,1,1125,1,1125,25,50,80,257,85,2.56,4.91,"t"
1.2e+18,552861161,"2023/12/27","within an hour",100,98,"t",1,"['email', 'phone']","Ward 115",-33.9217989,18.42015536,"Entire home/apt",2,1,1,1,1378,1,365,1,365,6,11,21,130,111,7.6,4.95,"t"
8.17e+17,20602565,"2014/08/27","within an hour",100,94,"t",75,"['email', 'phone', 'work_email']","Ward 115",-33.9152919,18.4211637,"Entire home/apt",4,2,2,2,1305,2,1125,2,1125,9,12,12,12,97,3,4.77,"f"
1.11e+18,551075151,"2023/12/15","within an hour",100,100,"f",46,"['phone']","Ward 54",-33.9128577,18.39203,"Entire home/apt",2,1,0,1,1230,1,60,1.9,1125,17,47,69,325,6,0.35,4.83,"t"
1.1e+18,491406090,"2022/12/14","within an hour",99,90,"f",69,"['email', 'phone']","Ward 115",-33.92787,18.42254,"Entire home/apt",2,1,1,1,1621,1,365,1.1,365,22,45,71,344,8,1.1,4.88,"t"
8.03e+17,372037214,"2020/10/15","within an hour",100,90,"f",1,"['email', 'phone']","Ward 74",-34.00836,18.34133,"Entire home/apt",4,2,2,3,2283,7,21,6.1,21,25,52,71,340,3,0.32,5,"f"
42283402,8108425,"2013/08/12","within an hour",100,90,"t",72,"['email', 'phone', 'work_email']","Ward 77",-33.94723,18.41547,"Entire home/apt",8,2,4,5,3614,2,1125,4.1,248.9,6,11,15,198,98,1.45,4.8,"t"
9.95e+17,5509428,"2013/03/18","within an hour",100,94,"f",20,"['email', 'phone', 'work_email']","Ward 73",-34.0437,18.45157,"Entire home/apt",4,2,2,3,1691,3,365,1.5,365,10,20,33,305,16,0.73,4.25,"t"
1.34e+18,668807432,"2024/12/26","within a day",100,37,"f",1,"['email', 'phone']","Ward 1",-33.8370169,18.5501936,"Private room",1,1,0,1,270,1,365,1,365,0,16,46,321,4,0.5,5,"f"
1.3e+18,243877634,"2019/02/18","within an hour",100,94,"f",1,"['email', 'phone']","Ward 115",-33.9181195,18.4234149,"Entire home/apt",2,1,1,1,727,1,365,1,365,10,40,70,345,10,1.03,4.6,"f"
8.68e+17,24602300,"2014/12/08","within a day",100,95,"t",3,"['email', 'phone']","Ward 55",-33.8828,18.48691,"Entire home/apt",2,1,1,1,858,2,120,2.2,120,23,53,83,358,36,1.27,4.89,"f"
24802708,28684648,"2015/03/03","within an hour",100,89,"t",5,"['email', 'phone', 'work_email']","Ward 54",-33.91808,18.39472,"Private room",1,1.5,1,1,437,7,120,7,120,0,0,5,42,18,0.39,4.72,"f"
7.84e+17,59877085,"2016/02/22","within an hour",100,75,"f",1,"['email', 'phone']","Ward 85",-34.11302,18.84477,"Entire home/apt",4,1,2,4,1200,1,90,1,90,0,0,0,199,3,0.14,4.33,"f"
9.55e+17,213730614,"2018/09/05","within a few hours",100,79,"f",2,"['email', 'phone']","Ward 23",-33.8134948,18.4725163,"Entire home/apt",2,1,1,1,727,3,365,3,365,2,31,51,319,7,0.28,4.29,"f"
9.89e+17,6332635,"2013/05/11","within an hour",100,100,"t",1,"['email', 'phone']","Ward 64",-34.11555138,18.46198864,"Entire home/apt",4,1,2,3,900,3,21,3,1125,21,47,72,162,43,1.86,4.93,"t"
44548067,73685154,"2016/05/24","within an hour",100,100,"f",3,"['email', 'phone']","Ward 59",-33.97581,18.46186,"Private room",1,1.5,1,1,1100,1,1125,1,731,18,18,25,209,4,0.09,4.5,"t"
7.61e+17,20600730,"2014/08/27","within an hour",100,90,"f",109,"['email', 'phone', 'work_email']","Ward 115",-33.92984827,18.42163965,"Entire home/apt",4,2,2,2,1327,1,365,2.1,365,8,28,57,326,29,1.83,4.41,"t"
54059898,437836003,"2021/12/28","within an hour",100,99,"f",165,"['email', 'phone']","Ward 115",-33.92577,18.44626,"Entire home/apt",2,1,1,1,878,1,1125,3.8,1125,23,53,83,341,6,0.14,4,"t"
20595488,147166948,"2017/08/22","within an hour",100,90,"t",1,"['email', 'phone']","Ward 77",-33.93939,18.42452,"Entire home/apt",2,1,1,1,557,2,14,2,1125,3,21,37,222,162,1.68,4.9,"t"
41656536,188138925,"2018/05/06","within an hour",100,100,"t",2,"['email', 'phone']","Ward 73",-34.01993,18.45341,"Entire home/apt",8,3.5,4,5,9000,7,21,7,1125,0,0,12,170,5,0.15,5,"f"
1.18e+18,578573887,"2024/05/20","within an hour",100,96,"t",4,"['email', 'phone']","Ward 4",-33.85029,18.49347,"Private room",2,1,1,1,720,1,365,1.4,53.9,0,0,0,214,17,1.14,5,"f"
1.5e+18,9994485,"2013/11/13","within an hour",100,67,"f",1,"['email', 'phone']","Ward 69",-34.10155831,18.39262655,"Entire home/apt",2,1,1,1,855,2,30,2,30,19,44,65,295,1,1,5,"f"
1.29e+18,5428449,"2013/03/12","within a day",100,100,"f",1,"['email', 'phone']","Ward 77",-33.93458152,18.42459722,"Entire home/apt",4,2,2,2,2945,10,90,12.4,90,0,0,14,30,3,0.32,5,"f"
8.27e+17,500028016,"2023/02/07","within an hour",100,86,"f",3,"['phone']","Ward 55",-33.89388,18.49046,"Private room",2,1,1,1,868,1,365,1,365,30,60,90,365,7,0.22,4.86,"f"
7.78e+17,26942301,"2015/01/30","a few days or more",0,33,"f",1,"['phone']","Ward 77",-33.94522,18.41159,"Entire home/apt",6,2,3,4,3394,4,365,4,365,0,29,33,183,8,0.24,5,"f"
1.03e+18,75934369,"2016/06/05","within a few hours",100,90,"f",2,"['email', 'phone']","Ward 55",-33.88433089,18.48872153,"Entire home/apt",4,2,2,2,1760,2,365,1,365,0,6,12,170,24,1.11,4.54,"f"
1.38e+18,31833162,"2015/04/24","within a day",100,85,"f",1,"['email', 'phone']","Ward 77",-33.9196654,18.4157885,"Entire home/apt",4,2,2,2,1400,4,365,4,365,12,23,49,292,5,0.78,5,"f"
1.4e+18,296117390,"2019/09/18","within an hour",99,95,"t",13,"['email', 'phone']","Ward 57",-33.93208126,18.4527941,"Entire home/apt",6,3,3,4,2613,4,1125,4,1125,12,22,34,71,9,1.86,5,"f"
1.01e+18,6111977,"2013/04/27","within a day",96,63,"f",42,"['email', 'phone']","Ward 61",-34.14264,18.32657,"Entire home/apt",8,3.5,5,1,8598,3,1125,2.5,1125,27,55,77,342,20,0.89,4.75,"f"
1.23e+18,123210773,"2017/03/29","within a few hours",100,88,"t",11,"['email', 'phone']","Ward 54",-33.96156,18.38228,"Entire home/apt",2,1,1,1,3325,4,30,4,30,4,5,10,213,16,1.29,4.94,"f"
1.3e+18,107575425,"2016/12/17","within an hour",100,85,"f",19,"['email', 'phone']","Ward 30",-33.9183629,18.55431787,"Entire home/apt",2,1,1,1,281,2,365,2,365,20,50,80,355,6,0.64,5,"f"
8.82e+17,57824617,"2016/02/08","within an hour",100,99,"t",73,"['email', 'phone']","Ward 115",-33.91678,18.42072,"Entire home/apt",2,1,1,1,925,1,365,1,365,14,24,49,141,54,2.16,4.87,"f"
7.55e+17,8108425,"2013/08/12","within an hour",100,90,"t",72,"['email', 'phone', 'work_email']","Ward 77",-33.9465,18.4159,"Entire home/apt",2,1,1,1,1225,2,180,3.3,248.9,16,43,73,348,76,2.21,4.86,"t"
6.73e+17,448355571,"2022/03/07","within a few hours",100,89,"f",2,"['email', 'phone']","Ward 115",-33.92808,18.43252,"Entire home/apt",4,1,2,2,1223,3,120,3.3,120,14,31,42,222,33,0.86,4.76,"f"
16763129,13729241,"2014/03/31","within an hour",99,96,"t",22,"['email', 'phone', 'work_email']","Ward 54",-33.95918,18.38063,"Entire home/apt",4,2,2,3,2206,3,1125,3.3,1125,20,30,60,304,76,0.72,4.72,"f"
25244982,162868797,"2017/12/16","within an hour",86,100,"f",2,"['email', 'phone']","Ward 115",-33.916,18.41954,"Entire home/apt",2,1,1,2,1098,3,365,3.2,1125,19,49,79,351,67,0.76,4.43,"t"
25254966,7304467,"2013/07/05","within an hour",100,98,"t",43,"['email', 'phone']","Ward 115",-33.92412949,18.42121887,"Entire home/apt",4,2,2,2,2387,2,1125,3.7,1125,3,14,43,308,220,2.49,4.91,"f"
34496764,42250743,"2015/08/23","within an hour",100,89,"f",4,"['email', 'phone']","Ward 100",-34.16864,18.85616,"Entire home/apt",6,2,3,4,4000,2,28,2,28,0,0,17,163,3,0.32,5,"f"
53454133,432837691,"2021/11/21","within an hour",100,99,"t",2,"['email', 'phone']","Ward 61",-34.18405,18.36591,"Entire home/apt",2,1,1,1,1993,2,1125,1.6,731,12,17,32,215,73,1.58,4.92,"f"
31732117,112281010,"2017/01/19","within an hour",100,84,"t",3,"['email', 'phone']","Ward 23",-33.80348,18.4674,"Entire home/apt",3,1,1,2,1529,1,1125,1,1125,29,59,79,233,43,0.53,4.91,"f"
1.19e+18,20602565,"2014/08/27","within an hour",100,94,"t",75,"['email', 'phone', 'work_email']","Ward 77",-33.9375385,18.4158244,"Entire home/apt",6,3.5,3,3,3775,4,365,3.7,365,18,21,27,49,20,1.33,4.8,"f"
9.62e+17,8981382,"2013/09/22","within an hour",100,100,"t",1,"['email', 'phone']","Ward 115",-33.9010667,18.402673,"Entire home/apt",4,2,2,3,1710,2,60,2,60,4,22,29,153,20,1.12,4.9,"f"
25222792,57977774,"2016/02/09","within a day",100,48,"t",2,"['phone']","Ward 115",-33.91831,18.41742,"Entire home/apt",2,1,1,1,1092,3,1125,3,1125,0,20,49,109,30,0.34,5,"f"
7.1e+17,102941106,"2016/11/08","within an hour",100,100,"t",1,"['email', 'phone']","Ward 54",-33.94707038,18.37920947,"Entire home/apt",6,3.5,3,4,14572,2,21,2.2,21,9,19,34,201,61,1.67,4.95,"f"
1.4e+18,5247707,"2013/02/27","within an hour",100,100,"f",1,"['email', 'phone']","Ward 23",-33.7868999,18.4590511,"Entire home/apt",4,2,2,3,1407,3,180,3,180,5,7,7,183,5,0.91,5,"f"
1.02e+18,11858790,"2014/02/02","within a few hours",100,84,"t",21,"['email', 'phone', 'work_email']","Ward 77",-33.9317212,18.40614744,"Entire home/apt",4,2,2,3,1697,5,365,5.2,365,19,23,53,328,6,0.34,5,"f"
14956409,33175657,"2015/05/12","within a few hours",100,44,"f",2,"['email', 'phone', 'work_email']","Ward 57",-33.94943,18.48119,"Entire home/apt",2,1,1,1,540,2,30,2,30,27,57,80,349,44,0.4,4.73,"f"
